UnixTime,Exchange
1549925252,3196.4
1549925252,3196.4
1549925236,3198.31
1549925231,3198.37
1549925224,3198.82
1549925207,3197.72
1549925194,3197.7
1549925177,3197.5
1549925173,3197.17
1549925172,3190.18
1549925169,3197.23
1549925169,3197.23
1549925169,3196.4
1549925169,3196.4
1549925168,3196.4
1549925147,3196.4
1549925134,3196.4
1549925116,3196.4
1549925115,3196.4
1549925105,3196.4
1549925092,3196.4
1549925084,3196.4
1549925084,3196.4
1549925074,3196.4
1549925058,3196.39
1549925046,3196.39
1549925037,3190.01
1549925023,3196.4
1549925014,3196.39
1549925012,3196.39
1549925005,3196.39
1549924997,3196.39
1549924995,3195.99
1549924984,3195.99
1549924964,3196.39
1549924954,3196.39
1549924940,3196.39
1549924927,3196.37
1549924918,3191.81
1549924906,3196.4
1549924894,3196.39
1549924879,3196.4
1549924877,3196.0
1549924865,3196.4
1549924864,3196.4
1549924847,3196.4
1549924834,3196.4
1549924821,3196.39
1549924819,3196.0
1549924813,3196.0
1549924807,3196.0
1549924807,3189.54
1549924805,3191.28
1549924805,3191.28
1549924793,3196.0
1549924784,3196.0
1549924774,3196.0
1549924755,3196.0
1549924744,3196.0
1549924727,3196.0
1549924714,3196.0
1549924697,3195.5
1549924690,3195.5
1549924688,3193.81
1549924665,3195.63
1549924654,3195.63
1549924635,3195.0
1549924625,3195.0
1549924603,3194.93
1549924594,3195.04
1549924577,3195.04
1549924571,3195.42
1549924567,3195.42
1549924544,3188.21
1549924543,3195.88
1549924534,3195.88
1549924516,3196.0
1549924504,3196.0
1549924492,3195.82
1549924487,3196.0
1549924474,3195.32
1549924470,3195.59
1549924458,3195.59
1549924457,3195.55
1549924447,3195.55
1549924423,3195.55
1549924421,3195.28
1549924392,3195.82
1549924361,3195.82
1549924335,3195.99
1549924331,3195.99
1549924303,3195.99
1549924271,3196.36
1549924263,3196.37
1549924241,3196.4
1549924218,3196.37
1549924216,3191.39
1549924215,3189.0
1549924204,3196.38
1549924203,3196.32
1549924202,3196.32
1549924182,3196.4
1549924153,3196.36
1549924151,3191.39
1549924141,3191.39
1549924121,3191.39
1549924121,3191.39
1549924101,3191.39
1549924097,3191.39
1549924077,3191.39
1549924070,3191.39
1549924063,3191.39
1549924057,3191.39
1549924050,3191.39
1549924033,3191.39
1549924030,3191.39
1549924010,3191.39
1549924001,3191.39
1549923982,3191.39
1549923977,3191.39
1549923973,3191.39
1549923973,3191.39
1549923972,3192.0
1549923941,3196.52
1549923913,3196.69
1549923902,3196.26
1549923900,3196.26
1549923884,3196.56
1549923867,3196.38
1549923857,3196.38
1549923830,3196.49
1549923822,3196.59
1549923794,3196.6
1549923760,3196.26
1549923738,3196.26
1549923707,3196.14
1549923627,3196.62
1549923604,3197.23
1549923604,3196.54
1549923603,3195.34
1549923603,3195.7
1549923602,3195.34
1549923480,3195.34
1549923433,3195.28
1549923432,3195.33
1549923233,3193.24
1549923193,3192.89
1549923193,3192.89
1549923162,3186.27
1549923146,3191.65
1549923146,3191.59
1549923144,3190.8
1549923113,3191.39
1549923108,3191.49
1549923102,3189.86
1549923093,3191.27
1549923075,3190.85
1549923074,3188.3
1549922963,3191.49
1549922960,3186.38
1549922960,3190.0
1549922833,3190.0
